City,FAA,IATA,ICAO,Airport,Role,Enplanements
Birmingham,BHM,BHM,KBHM,Birmingham–Shuttlesworth International Airport,P-S,"1,335,215"
Dothan,DHN,DHN,KDHN,Dothan Regional Airport,P-N,"48,423"
Huntsville,HSV,HSV,KHSV,Huntsville International Airport (Carl T. Jones Field),P-S,"505,541"
Mobile,MOB,MOB,KMOB,Mobile Regional Airport,P-N,"287,661"
Montgomery,MGM,MGM,KMGM,Montgomery Regional Airport (Dannelly Field),P-N,"157,958"
Anchorage,ANC,ANC,PANC,Ted Stevens Anchorage International Airport,P-M,"2,325,030"
Aniak,ANI,ANI,PANI,Aniak Airport,P-N,"14,334"
Barrow,BRW,BRW,PABR,Wiley Post–Will Rogers Memorial Airport,P-N,"51,568"
Bethel,BET,BET,PABE,Bethel Airport (also see Bethel Seaplane Base),P-N,"152,084"
Cordova,CDV,CDV,PACV,Merle K. (Mudhole) Smith Airport,P-N,"15,772"
Deadhorse / Prudhoe Bay,SCC,SCC,PASC,Deadhorse Airport (Prudhoe Bay Airport),P-N,"48,588"
Dillingham,DLG,DLG,PADL,Dillingham Airport,P-N,"26,632"
Fairbanks,FAI,FAI,PAFA,Fairbanks International Airport,P-S,"457,372"
Galena,GAL,GAL,PAGA,Edward G. Pitka Sr. Airport,P-N [nb 1],"14,141"
Gustavus,GST,GST,PGST,Gustavus Airport,P-N [nb 2],"14,141"
Haines,HNS,HNS,PAHN,Haines Airport (also see Haines Seaplane Base),P-N,"10,106"
Homer,HOM,HOM,PAHO,Homer Airport,P-N,"37,705"
Hoonah,HNH,HNH,PAOH,Hoonah Airport (also see Hoonah Seaplane Base),P-N [nb 3],"10,468"
Juneau,JNU,JNU,PAJN,Juneau International Airport,P-N,"321,573"
Kenai,ENA,ENA,PAEN,Kenai Municipal Airport,P-N,"99,821"
Ketchikan,KTN,KTN,PAKT,Ketchikan International Airport,P-N,"109,433"
King Salmon,AKN,AKN,PAKN,King Salmon Airport,P-N,"35,450"
Kodiak,ADQ,ADQ,PADQ,Kodiak Airport,P-N,"79,930"
Kotzebue,OTZ,OTZ,PAOT,Ralph Wien Memorial Airport,P-N,"61,274"
Nome,OME,OME,PAOM,Nome Airport,P-N,"58,020"
Petersburg,PSG,PSG,PAPG,Petersburg James A. Johnson Airport,P-N,"20,046"
Sitka,SIT,SIT,PASI,Sitka Rocky Gutierrez Airport,P-N,"67,989"
St. Mary's,KSM,KSM,PASM,St. Mary's Airport,P-N,"13,949"
Unalakleet,UNK,UNK,PAUN,Unalakleet Airport,P-N,"14,011"
Unalaska,DUT,DUT,PADU,Unalaska Airport (Tom Madsen Airport),P-N,"28,556"
Valdez,VDZ,VDZ,PAVD,Valdez Airport (Pioneer Field),P-N,"13,318"
Wrangell,WRG,WRG,PAWG,Wrangell Airport (also see Wrangell Seaplane Base),P-N,"11,807"
Yakutat,YAK,YAK,PAYA,Yakutat Airport (also see Yakutat Seaplane Base),P-N,"10,135"
Bullhead City,IFP,IFP,KIFP,Laughlin/Bullhead International Airport,P-N,"109,647"
Flagstaff,FLG,FLG,KFLG,Flagstaff Pulliam Airport,P-N,"58,323"
Grand Canyon / Tusayan,GCN,GCN,KGCN,Grand Canyon National Park Airport,P-N,"126,364"
Mesa,IWA,AZA,KIWA,Phoenix–Mesa Gateway Airport,P-N,"725,048"
Page,PGA,PGA,KPGA,Page Municipal Airport,P-N,"25,260"
Peach Springs,1G4,GCW,,Grand Canyon West Airport,P-N,"59,846"
Phoenix,PHX,PHX,KPHX,Phoenix Sky Harbor International Airport,P-L,"19,525,829"
Tucson,TUS,TUS,KTUS,Tucson International Airport,P-S,"1,570,329"
Yuma,NYL,YUM,KNYL,Yuma International Airport / MCAS Yuma,P-N,"78,395"
Fayetteville,XNA,XNA,KXNA,Northwest Arkansas Regional Airport,P-S,"558,218"
Fort Smith,FSM,FSM,KFSM,Fort Smith Regional Airport,P-N,"82,742"
Little Rock,LIT,LIT,KLIT,Bill and Hillary Clinton National Airport (Adams Field) (was Little Rock National),P-S,"1,055,608"
Texarkana,TXK,TXK,KTXK,Texarkana Regional Airport (Webb Field),P-N,"32,882"
Arcata / Eureka,ACV,ACV,KACV,Arcata Airport,P-N,"56,682"
Bakersfield,BFL,BFL,KBFL,Meadows Field,P-N,"143,175"
Burbank,BUR,BUR,KBUR,Bob Hope Airport,P-M,"1,919,005"
Carlsbad,CRQ,CLD,KCRQ,McClellan–Palomar Airport,P-N,"52,561"
Chico,CIC,CIC,KCIC,Chico Municipal Airport,P-N,"16,835"
Crescent City,CEC,CEC,KCEC,Del Norte County Airport (Jack McNamara Field),P-N,"12,136"
Fresno,FAT,FAT,KFAT,Fresno Yosemite International Airport,P-S,"684,849"
Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field),P-S,"1,438,948"
Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport,P-L,"32,427,115"
Mammoth Lakes,MMH,MMH,KMMH,Mammoth Yosemite Airport,P-N [nb 4],"30,970"
Modesto,MOD,MOD,KMOD,Modesto City–County Airport (Harry Sham Field),P-N,"11,310"
Monterey,MRY,MRY,KMRY,Monterey Regional Airport (was Monterey Peninsula Airport),P-N,"205,838"
Oakland,OAK,OAK,KOAK,Oakland International Airport,P-M,"4,771,830"
Ontario,ONT,ONT,KONT,Ontario International Airport,P-M,"1,970,538"
Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport,P-S,"876,428"
Redding,RDD,RDD,KRDD,Redding Municipal Airport,P-N,"24,875"
Sacramento,SMF,SMF,KSMF,Sacramento International Airport,P-M,"4,255,145"
San Diego,SAN,SAN,KSAN,San Diego International Airport,P-L,"8,876,777"
San Francisco,SFO,SFO,KSFO,San Francisco International Airport,P-L,"21,706,567"
San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport,P-M,"4,317,896"
San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field),P-N,"135,844"
Santa Ana,SNA,SNA,KSNA,John Wayne Airport – Orange County (was Orange County Airport),P-M,"4,542,376"
Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport),P-N,"365,036"
Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),P-N,"51,395"
Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport,P-N,"113,083"
Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport,P-N,"71,757"
Aspen,ASE,ASE,KASE,Aspen-Pitkin County Airport (Sardy Field),P-N,"208,682"
Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport,P-S,"658,318"
Denver,DEN,DEN,KDEN,Denver International Airport,P-L,"25,497,348"
Durango,DRO,DRO,KDRO,Durango-La Plata County Airport,P-N,"192,797"
Eagle,EGE,EGE,KEGE,Eagle County Regional Airport,P-N,"168,535"
