City,FAA,IATA,ICAO,Airport,Role,Enplanements
Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,P-M,"2,776,377"
Lexington,LEX,LEX,KLEX,Blue Grass Airport,P-S,"604,091"
Louisville,SDF,SDF,KSDF,Louisville International Airport (Standiford Field),P-S,"1,669,470"
Owensboro,OWB,OWB,KOWB,Owensboro-Daviess County Regional Airport,P-N,"21,751"
Paducah,PAH,PAH,KPAH,Barkley Regional Airport,P-N,"20,523"
Alexandria,AEX,AEX,KAEX,Alexandria International Airport,P-N,"183,899"
Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),P-S,"401,035"
Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport,P-N,"233,498"
Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport,P-N,"65,281"
Monroe,MLU,MLU,KMLU,Monroe Regional Airport,P-N,"115,757"
New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport,P-M,"4,577,498"
Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport,P-N,"279,897"
Bangor,BGR,BGR,KBGR,Bangor International Airport,P-N,"265,245"
Bar Harbor,BHB,BHB,KBHB,Hancock County-Bar Harbor Airport,P-N,"10,625"
Portland,PWM,PWM,KPWM,Portland International Jetport,P-S,"837,335"
Presque Isle,PQI,PQI,KPQI,Northern Maine Regional Airport at Presque Isle,P-N,"11,488"
Rockland,RKD,RKD,KRKD,Knox County Regional Airport,P-N,"15,724"
Baltimore / Glen Burnie,BWI,BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,P-L,"11,134,130"
Salisbury,SBY,SBY,KSBY,Salisbury-Ocean City Wicomico Regional Airport,P-N,"62,670"
Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field),P-N,"12,941"
Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport,P-L,"14,721,693"
Hyannis,HYA,HYA,KHYA,Barnstable Municipal Airport (Boardman/Polando Field),P-N,"88,055"
Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport,P-N,"184,618"
New Bedford,EWB,EWB,KEWB,New Bedford Regional Airport,P-N,"10,604"
Provincetown,PVC,PVC,KPVC,Provincetown Municipal Airport,P-N,"11,288"
Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport,P-N,"56,763"
Alpena,APN,APN,KAPN,Alpena County Regional Airport,P-N,"15,914"
Charlevoix,CVX,CVX,KCVX,Charlevoix Municipal Airport,P-N,"16,929"
Detroit / Romulus,DTW,DTW,KDTW,Detroit Metropolitan Wayne County Airport,P-L,"15,683,787"
Escanaba,ESC,ESC,KESC,Delta County Airport,P-N,"15,110"
Flint,FNT,FNT,KFNT,Bishop International Airport,P-S,"398,132"
Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport,P-S,"1,123,257"
Hancock / Calumet,CMX,CMX,KCMX,Houghton County Memorial Airport,P-N,"25,312"
Iron Mountain / Kingsford,IMT,IMT,KIMT,Ford Airport,P-N,"11,271"
Kalamazoo / Battle Creek,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport,P-N,"129,211"
Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City),P-N,"216,925"
Marquette / Gwinn,SAW,MQT,KSAW,Sawyer International Airport,P-N,"42,355"
Muskegon,MKG,MKG,KMKG,Muskegon County Airport,P-N,"18,020"
Pellston,PLN,PLN,KPLN,Pellston Regional Airport of Emmet County,P-N,"27,281"
Saginaw,MBS,MBS,KMBS,MBS International Airport,P-N,"120,689"
Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport,P-N,"21,827"
Traverse City,TVC,TVC,KTVC,Cherry Capital Airport,P-N,"189,644"
Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport,P-N,"22,819"
Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport,P-N,"15,654"
Duluth,DLH,DLH,KDLH,Duluth International Airport,P-N,"155,455"
Hibbing,HIB,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport),P-N,"11,669"
International Falls,INL,INL,KINL,Falls International Airport,P-N,"15,796"
Minneapolis,MSP,MSP,KMSP,Minneapolis–St. Paul International Airport (Wold–Chamberlain Field),P-L,"16,282,038"
Rochester,RST,RST,KRST,Rochester International Airport,P-N,"110,104"
St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport (scheduled passenger service resumed Dec. 2012),P-N,"15,842"
Columbus / West Point / Starkville,GTR,GTR,KGTR,Golden Triangle Regional Airport,P-N,"41,140"
Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport-Biloxi International Airport,P-N,"369,597"
Hattiesburg / Laurel,PIB,PIB,KPIB,Hattiesburg-Laurel Regional Airport,P-N,"10,633"
Jackson,JAN,JAN,KJAN,Jackson-Evers International Airport,P-S,"596,045"
Columbia,COU,COU,KCOU,Columbia Regional Airport,P-N,"45,714"
Joplin,JLN,JLN,KJLN,Joplin Regional Airport,P-N,"23,329"
Kansas City,MCI,MCI,KMCI,Kansas City International Airport,P-M,"4,836,221"
Springfield,SGF,SGF,KSGF,Springfield-Branson National Airport,P-N,"368,752"
St. Louis,STL,STL,KSTL,Lambert-St. Louis International Airport,P-M,"6,213,972"
Billings,BIL,BIL,KBIL,Billings Logan International Airport,P-S,"387,368"
Bozeman,BZN,BZN,KBZN,Bozeman Yellowstone International Airport (was Gallatin Field Airport),P-S,"442,788"
Butte,BTM,BTM,KBTM,Bert Mooney Airport,P-N,"29,490"
Great Falls,GTF,GTF,KGTF,Great Falls International Airport,P-N,"182,390"
Helena,HLN,HLN,KHLN,Helena Regional Airport,P-N,"97,310"
Kalispell,GPI,FCA,KGPI,Glacier Park International Airport,P-N,"199,701"
Missoula,MSO,MSO,KMSO,Missoula International Airport,P-N,"298,253"
Grand Island,GRI,GRI,KGRI,Central Nebraska Regional Airport,P-N,"57,165"
Kearney,EAR,EAR,KEAR,Kearney Regional Airport (was Kearney Municipal),P-N,"13,096"
Lincoln,LNK,LNK,KLNK,Lincoln Airport (was Lincoln Municipal),P-N,"138,787"
Omaha,OMA,OMA,KOMA,Eppley Airfield,P-M,"1,977,480"
Scottsbluff,BFF,BFF,KBFF,Western Nebraska Regional Airport (William B. Heilig Field),P-N,"10,155"
Boulder City,BVU,BLD,KBVU,Boulder City Municipal Airport,P-N,"103,972"
